Symbol,Maturity,Current Price,Trend,Trend Score,Composite Score,Belief Quality,Quantiment (%),Sentiment,Reference Return (%),Risk,Safety,Safety Score,Healthy Score,Reference Rating,Reference State,Strategic Signal,Summary,Reference Prices,Category signal
USDC/USDT,MATURE,1.0,Upward,1,3.3,90,50.02,Neutral,0.01,Low Risk,Safe,99.5,64.0,B,Attention,Opportunity Confirmation,"ATTENTION: Reference return 0.0%, Safety 99.5/100, Risk: Low Risk","Risk Reference Prices (Current: 1.00) | Lower Warning: 0.95, Lower Danger: 0.9, Upper Warning: 1.05, Upper Danger: 1.1",ATTENTION
USD1/USDT,MATURE,1.0,Upward,1,1.3,70,50.03,Neutral,0.0,Low Risk,Safe,99.1,52.8,C+,Watchlist,Double Check,"WATCHLIST: Reference return 0.0%, Safety 99.1/100, Risk: Low Risk","Risk Reference Prices (Current: 1.00) | Lower Warning: 0.95, Lower Danger: 0.9, Upper Warning: 1.05, Upper Danger: 1.1",WATCHLIST
BTC/USDT,MATURE,89388.38,Downward,-1,-1.03,45,62.19,Bullish,0.42,Low Risk,Mediate,49.6,19.5,D,Underweight,Conservative Allocation,"WATCHLIST: Reference return 0.4%, Safety 49.6/100, Risk: Low Risk","Risk Reference Prices (Current: 89388.38) | Lower Warning: 84918.96, Lower Danger: 80449.54, Upper Warning: 93857.8, Upper Danger: 98327.22",WATCHLIST
ETH/USDT,MATURE,2957.75,Downward,-1,-2.14,20,60.48,Neutral,0.92,Low Risk,Caution,28.0,4.4,D,Underweight,Conservative Allocation,"WATCHLIST: Reference return 0.9%, Safety 28.0/100, Risk: Low Risk","Risk Reference Prices (Current: 2957.75) | Lower Warning: 2809.86, Lower Danger: 2661.98, Upper Warning: 3105.64, Upper Danger: 3253.52",WATCHLIST
SOL/USDT,MATURE,127.43,Downward,-1,-1.05,45,58.72,Neutral,-0.03,High Risk,Caution,21.2,12.4,D,Underweight,Conservative Allocation,"WATCHLIST: Reference return -0.0%, Safety 21.2/100, Risk: High Risk","Risk Reference Prices (Current: 127.43) | Lower Warning: 121.06, Lower Danger: 114.69, Upper Warning: 133.8, Upper Danger: 140.17",WATCHLIST
FDUSD/USDT,MATURE,1.0,Upward,1,-1.3,55,50.1,Neutral,0.03,Low Risk,Safe,98.2,26.8,D,Underweight,Conservative Allocation,"WATCHLIST: Reference return 0.0%, Safety 98.2/100, Risk: Low Risk","Risk Reference Prices (Current: 1.00) | Lower Warning: 0.95, Lower Danger: 0.9, Upper Warning: 1.05, Upper Danger: 1.1",WATCHLIST
XRP/USDT,MATURE,1.92,Downward,-1,-1.11,45,48.46,Neutral,-0.92,Low Risk,Caution,12.5,8.7,D,Underweight,Conservative Allocation,"WATCHLIST: Reference return -0.9%, Safety 12.5/100, Risk: Low Risk","Risk Reference Prices (Current: 1.92) | Lower Warning: 1.82, Lower Danger: 1.73, Upper Warning: 2.01, Upper Danger: 2.11",WATCHLIST
FOGO/USDT,COLD,0.04,Unknown,0,0.0,0,50.0,Low Confidence,0.0,Low Risk,Mediate,57.3,19.0,D,Underweight,Conservative Allocation,"WATCHLIST: Reference return 0.0%, Safety 57.3/100, Risk: Low Risk","Risk Reference Prices (Current: 0.04) | Lower Warning: 0.04, Lower Danger: 0.04, Upper Warning: 0.04, Upper Danger: 0.04",WATCHLIST
SOMI/USDT,MATURE,0.3,Downward,-1,1.08,60,45.99,Neutral,-3.55,High Risk,Caution,0.0,28.8,D,Underweight,Conservative Allocation,"WATCHLIST: Reference return -3.5%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.30) | Lower Warning: 0.28, Lower Danger: 0.27, Upper Warning: 0.31, Upper Danger: 0.33",WATCHLIST
TRX/USDT,MATURE,0.3,Upward,1,1.12,75,52.78,Neutral,1.49,Low Risk,Mediate,54.9,46.5,C+,Watchlist,Double Check,"WATCHLIST: Reference return 1.5%, Safety 54.9/100, Risk: Low Risk","Risk Reference Prices (Current: 0.30) | Lower Warning: 0.28, Lower Danger: 0.27, Upper Warning: 0.31, Upper Danger: 0.32",WATCHLIST
PAXG/USDT,MATURE,5110.46,Upward,1,1.37,85,60.94,Neutral,1.78,Low Risk,Safe,77.3,56.4,B,Attention,Opportunity Confirmation,"WATCHLIST: Reference return 1.8%, Safety 77.3/100, Risk: Low Risk","Risk Reference Prices (Current: 5110.46) | Lower Warning: 4854.94, Lower Danger: 4599.41, Upper Warning: 5365.98, Upper Danger: 5621.51",WATCHLIST
BNB/USDT,MATURE,888.47,Downward,-1,-1.04,45,59.46,Neutral,0.65,Low Risk,Mediate,46.3,18.7,D,Underweight,Conservative Allocation,"WATCHLIST: Reference return 0.7%, Safety 46.3/100, Risk: Low Risk","Risk Reference Prices (Current: 888.47) | Lower Warning: 844.05, Lower Danger: 799.62, Upper Warning: 932.89, Upper Danger: 977.32",WATCHLIST
ENSO/USDT,MATURE,1.38,Downward,-1,1.07,60,44.74,Neutral,-2.68,High Risk,Caution,0.0,28.5,D,Underweight,Conservative Allocation,"WATCHLIST: Reference return -2.7%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 1.38) | Lower Warning: 1.31, Lower Danger: 1.24, Upper Warning: 1.45, Upper Danger: 1.52",WATCHLIST
