Symbol,Maturity,Current Price,Trend,Trend Score,Composite Score,Belief Quality,Quantiment (%),Sentiment,Reference Return (%),Risk,Safety,Safety Score,Healthy Score,Reference Rating,Reference State,Strategic Signal,sharpRatio,Summary,Reference Prices,Category signal,Safety Band,Health Band,Investor Type,Current Stance,Portfolio Role,Risk Label,Investor Fit Score,Interpretation
BTC/USDT,MATURE,69056.92,Downward,-1,-1.13,35,55.13,Neutral,-0.46,Low Risk,Caution,29.1,10.9,D,Underweight,Conservative Allocation,-1.520049993,"WATCHLIST: Reference return -0.5%, Safety 29.1/100, Risk: Low Risk","Risk Reference Prices (Current: 69056.92) | Lower Warning: 65604.07, Lower Danger: 62151.23, Upper Warning: 72509.77, Upper Danger: 75962.61",WATCHLIST,Caution,Weak,Moderately Conservative,High Risk Tactical Only,Core Allocation,Low Risk | Caution | Weak,26.39,"Suitable as a relatively stable core risk asset, but current conditions require caution. Current profile is only suitable for tactical, high-risk participation."
USDC/USDT,MATURE,1,Downward,-1,0.85,50,49.98,Neutral,-0.01,Low Risk,Safe,99.6,45.4,C+,Watchlist,Double Check,-9.727001956,"WATCHLIST: Reference return -0.0%, Safety 99.6/100, Risk: Low Risk","Risk Reference Prices (Current: 1.00) | Lower Warning: 0.95, Lower Danger: 0.9, Upper Warning: 1.05, Upper Danger: 1.1",WATCHLIST,Safe,Strong,Safe / Defensive,Safe Hold,Defensive / Cash Position,Low Risk | Safe | Strong,68.1,"Best suited for capital preservation, portfolio stabilization, and low-volatility allocation. Current profile supports defensive holding."
ETH/USDT,MATURE,2119.91,Downward,-1,0.25,50,58.29,Neutral,-1.21,High Risk,Caution,11.3,23.5,D,Underweight,Conservative Allocation,-1.420268983,"WATCHLIST: Reference return -1.2%, Safety 11.3/100, Risk: High Risk","Risk Reference Prices (Current: 2119.91) | Lower Warning: 2013.91, Lower Danger: 1907.92, Upper Warning: 2225.91, Upper Danger: 2331.9",WATCHLIST,Risky,Weak,Aggressive Growth,Watch / DCA Only,High-Beta Growth Position,High Risk | Risky | Weak,29.96,Suitable for aggressive investors targeting high upside with elevated risk exposure. Current weakness suggests observation or gradual accumulation only.
SOL/USDT,MATURE,81.93,Downward,-1,-1.28,35,56.13,Neutral,-1.57,High Risk,Caution,4.8,5.1,D,Underweight,Conservative Allocation,-1.942075265,"WATCHLIST: Reference return -1.6%, Safety 4.8/100, Risk: High Risk","Risk Reference Prices (Current: 81.93) | Lower Warning: 77.83, Lower Danger: 73.74, Upper Warning: 86.03, Upper Danger: 90.12",WATCHLIST,Speculative,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Speculative | Fragile,15.87,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
STO/USDT,MATURE,0.16,Upward,1,2.6,100,61.45,Bullish,4.44,High Risk,Caution,0,53.6,C+,Watchlist,Double Check,1.085759293,"ATTENTION: Reference return 4.4%, Safety 0.0/100, Risk: High Risk","Risk Reference Prices (Current: 0.16) | Lower Warning: 0.15, Lower Danger: 0.14, Upper Warning: 0.17, Upper Danger: 0.17",ATTENTION,Speculative,Strong,Balanced Aggressive,Selective Exposure,Growth Allocation,High Risk | Speculative | Strong,48.72,Suitable for investors willing to accept higher volatility in exchange for stronger growth potential. Current setup allows selective exposure under controlled sizing.
XRP/USDT,MATURE,1.33,Downward,-1,-1.32,35,46.77,Neutral,-1.59,High Risk,Caution,22.3,6.9,D,Underweight,Conservative Allocation,-1.498049024,"WATCHLIST: Reference return -1.6%, Safety 22.3/100, Risk: High Risk","Risk Reference Prices (Current: 1.33) | Lower Warning: 1.26, Lower Danger: 1.19, Upper Warning: 1.39, Upper Danger: 1.46",WATCHLIST,Risky,Fragile,Speculative,Avoid / Too Fragile,Tactical Satellite Position,High Risk | Risky | Fragile,21.5,Suitable only for high-risk tactical or speculative positioning. Current profile appears too fragile for normal allocation.
USD1/USDT,MATURE,1,Downward,-1,3.91,85,49.97,Neutral,-0.01,Low Risk,Safe,99.4,63.6,B,Attention,Opportunity Confirmation,-6.471233122,"WATCHLIST: Reference return -0.0%, Safety 99.4/100, Risk: Low Risk","Risk Reference Prices (Current: 1.00) | Lower Warning: 0.95, Lower Danger: 0.9, Upper Warning: 1.05, Upper Danger: 1.1",WATCHLIST,Safe,Strong,Safe / Defensive,Safe Hold,Defensive / Cash Position,Low Risk | Safe | Strong,86.39,"Best suited for capital preservation, portfolio stabilization, and low-volatility allocation. Current profile supports defensive holding."
BNB/USDT,MATURE,602.81,Downward,-1,-1.45,45,52.48,Neutral,-0.83,High Risk,Caution,27.2,9.9,D,Underweight,Conservative Allocation,-1.031813649,"WATCHLIST: Reference return -0.8%, Safety 27.2/100, Risk: High Risk","Risk Reference Prices (Current: 602.81) | Lower Warning: 572.67, Lower Danger: 542.53, Upper Warning: 632.95, Upper Danger: 663.09",WATCHLIST,Caution,Fragile,Speculative,High Risk Tactical Only,Tactical Satellite Position,High Risk | Caution | Fragile,25.86,"Suitable only for high-risk tactical or speculative positioning. Current profile is only suitable for tactical, high-risk participation."
XAUT/USDT,COLD,4583.21,Unknown,0,0.1,0,50,Low Confidence,0,Low Risk,Safe,96.6,27.8,D,Underweight,Conservative Allocation,3.627121731,"WATCHLIST: Reference return 0.0%, Safety 96.6/100, Risk: Low Risk","Risk Reference Prices (Current: 4583.21) | Lower Warning: 4354.05, Lower Danger: 4124.89, Upper Warning: 4812.37, Upper Danger: 5041.53",WATCHLIST,Safe,Acceptable,Conservative,Selective Exposure,Core Allocation,Low Risk | Safe | Acceptable,52.4,Suitable for lower-risk investors seeking relatively stable core exposure. Current setup allows selective exposure under controlled sizing.
DOGE/USDT,MATURE,0.09,Downward,-1,0.21,50,46.58,Neutral,-0.66,High Risk,Caution,9.4,21,D,Underweight,Conservative Allocation,-1.71892238,"WATCHLIST: Reference return -0.7%, Safety 9.4/100, Risk: High Risk","Risk Reference Prices (Current: 0.09) | Lower Warning: 0.09, Lower Danger: 0.08, Upper Warning: 0.1, Upper Danger: 0.1",WATCHLIST,Speculative,Weak,Speculative,Watch / DCA Only,Tactical Satellite Position,High Risk | Speculative | Weak,27.27,Suitable only for high-risk tactical or speculative positioning. Current weakness suggests observation or gradual accumulation only.
